Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,Datum_1_Interview,Datum_2_Interview,Datum_3_Interview,Datum_4_Interview,V1,V01,V2,V3,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V10,V11,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V13,V14,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,V19_2_Interview,V19_3_Interview,V19_4_Interview,V20_2_Interview,V20_3_Interview,V20_4_Interview,V21_2_Interview,V21_3_Interview,V21_4_Interview,Miss_row_%,Days_Between_2_and_1_Interview,Days_Between_3_and_2_Interview,Days_Between_4_and_3_Interview,D4_2_1,D4_3_2,D4_4_3,D4_4_1,D6_2_1,D6_3_2,D6_4_3,D6_4_1,D12_2_1,D12_3_2,D12_4_3,D12_4_1
SS_01__1__1,SS_01__1,2018-01-03 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-28 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,7.0,7.0,1.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10,10.0,10.0,9.0,10.0,3.6363636363636402,28.0,28.0,28.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
JH_02__2__1,JH_02__2,2018-01-04 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-03-29 00:00:00,Mail,324.0,1.0,1.0,3.0,3.0,3.0,2.0,6.0,6.0,8.0,8.0,1.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,3.0,4.0,10.0,9.0,9.0,10.0,10,10.0,7.0,8.0,10.0,1.818181818181813,28.0,28.0,28.0,0.0,0.0,-1.0,-1.0,0.0,2.0,0.0,2.0,1.0,-2.0,2.0,1.0
CH_03__3__1,CH_03__3,2018-01-05 00:00:00,2018-02-02 00:00:00,2018-03-02 00:00:00,2018-03-30 00:00:00,Jodel,279.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,10.0,8.0,10.0,8.0,10.0,5.0,10.0,10.0,10.0,10.0,5.0,5.0,8.0,5.0,5.0,10.0,10,10.0,5.0,7.0,5.0,5.454545454545453,28.0,28.0,28.0,1.0,0.0,0.0,1.0,-2.0,4.0,-3.0,-1.0,-2.0,2.0,-2.0,-2.0
NR_04__4__1,NR_04__4,2018-01-05 00:00:00,2018-02-02 00:00:00,2018-03-02 00:00:00,2018-03-30 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,8.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,3.0,5.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,28.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
MD_05__5__1,MD_05__5,2018-01-06 00:00:00,2018-02-04 00:00:00,2018-03-04 00:00:00,2018-03-31 00:00:00,MVG Fahrinfo,353.0,1.0,1.0,3.0,3.0,3.0,4.0,7.0,6.0,5.0,3.0,1.0,6.0,8.0,9.0,8.0,8.0,10.0,10.0,1.0,1.0,5.0,1.0,1.0,1.0,10.0,8.0,10.0,9.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,29.0,28.0,27.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,-4.0,1.0,-1.0,0.0,0.0
BO_06__6__1,BO_06__6,2018-01-06 00:00:00,2018-02-04 00:00:00,2018-03-04 00:00:00,2018-03-31 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,6.0,9.0,1.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0,10,10.0,9.0,7.0,7.0,1.818181818181813,29.0,28.0,27.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,1.0,-2.0,2.0,-1.0,-1.0
BK_07__7__1,BK_07__7,2018-01-06 00:00:00,2018-02-04 00:00:00,2018-03-04 00:00:00,2018-03-31 00:00:00,Spotify,505.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,9.0,8.0,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10,10.0,6.0,10.0,10.0,3.6363636363636402,29.0,28.0,27.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
JL_08__8__1,JL_08__8,2018-01-06 00:00:00,2018-02-03 00:00:00,2018-03-03 00:00:00,2018-03-31 00:00:00,Zalando,614.0,1.0,1.0,2.0,3.0,3.0,4.0,10.0,9.0,8.0,8.0,1.0,1.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,1.0,1.0,3.0,2.0,1.0,10.0,9.0,9.0,10.0,10,10.0,9.0,10.0,8.0,5.454545454545453,28.0,28.0,28.0,1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0,-1.0,-2.0
NS_09__9__1,NS_09__9,2018-01-11 00:00:00,2018-02-07 00:00:00,2018-03-08 00:00:00,2018-04-05 00:00:00,MVG Fahrinfo,353.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,8.0,1.0,1.0,8.0,8.0,8.0,8.0,10.0,10.0,1.0,5.0,10.0,1.0,1.0,1.0,7.0,8.0,8.0,10.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,27.0,29.0,28.0,0.0,0.0,0.0,0.0,3.0,-1.0,4.0,6.0,0.0,0.0,0.0,0.0
NH_10__10__1,NH_10__10,2018-01-13 00:00:00,2018-02-07 00:00:00,2018-03-10 00:00:00,2018-04-07 00:00:00,Spiegel Online,499.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,10,10.0,9.0,9.0,8.0,5.454545454545453,25.0,31.0,28.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0
