V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
2.0,1.0,,,,7.0,,,,9.0,,,,,,,,,,1
1.0,1.0,,,,7.0,,,,10.0,,,,,,,,,,1
1.0,1.0,,,,8.0,,,,10.0,,,,,,,,,,1
1.0,2.0,,,,7.0,,,,9.0,,,,,,,,,,1
1.0,2.0,,,,7.0,,,,7.0,,,,,,,,,,1
1.0,4.0,,,,4.0,,,,7.0,,,,,,,,,,1
1.0,4.0,,,,9.0,,,,9.0,,,,,,,,,,1
2.0,1.0,,,,7.0,,,,9.0,,,,,,,,,,1
1.0,1.0,,,,8.0,,,,10.0,,,,,,,,,,1
1.0,2.0,,,,7.0,,,,10.0,,,,,,,,,,1
1.0,3.0,,,,8.0,,,,8.0,,,,,,,,,,1
1.0,1.0,,,,7.0,,,,8.0,,,,,,,,,,1
1.0,4.0,,,,8.0,,,,6.0,,,,,,,,,,1
1.0,5.0,,,,5.0,,,,8.0,,,,,,,,,,1
2.0,2.0,,,,5.0,,,,8.0,,,,,,,,,,1
2.0,2.0,,,,7.0,,,,10.0,,,,,,,,,,1
2.0,2.0,,,,10.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,6.0,,,,8.0,,,,,,,,,,1
2.0,1.0,,,,8.0,,,,8.0,,,,,,,,,,1
2.0,4.0,,,,8.0,,,,8.0,,,,,,,,,,1
1.0,5.0,,,,8.0,,,,7.0,,,,,,,,,,1
2.0,4.0,,,,2.0,,,,7.0,,,,,,,,,,1
2.0,3.0,,,,9.0,,,,10.0,,,,,,,,,,1
2.0,1.0,,,,9.0,,,,9.0,,,,,,,,,,1
2.0,1.0,,,,6.0,,,,8.0,,,,,,,,,,1
2.0,2.0,,,,6.0,,,,9.0,,,,,,,,,,1
1.0,3.0,,,,4.0,,,,5.0,,,,,,,,,,1
1.0,5.0,,,,6.0,,,,8.0,,,,,,,,,,1
1.0,5.0,,,,2.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,8.0,,,,10.0,,,,,,,,,,1
2.0,1.0,,,,7.0,,,,8.0,,,,,,,,,,1
1.0,3.0,,,,5.0,,,,10.0,,,,,,,,,,1
1.0,5.0,,,,7.0,,,,6.0,,,,,,,,,,1
2.0,5.0,,,,8.0,,,,9.0,,,,,,,,,,1
2.0,1.0,,,,10.0,,,,10.0,,,,,,,,,,1
2.0,5.0,,,,8.0,,,,8.0,,,,,,,,,,1
2.0,2.0,,,,8.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,6.0,,,,10.0,,,,,,,,,,1
2.0,1.0,,,,9.0,,,,7.0,,,,,,,,,,1
1.0,5.0,,,,6.0,,,,8.0,,,,,,,,,,1
2.0,4.0,,,,8.0,,,,10.0,,,,,,,,,,1
2.0,2.0,,,,2.0,,,,10.0,,,,,,,,,,1
1.0,4.0,,,,8.0,,,,9.0,,,,,,,,,,1
1.0,3.0,,,,9.0,,,,8.0,,,,,,,,,,1
2.0,4.0,,,,5.0,,,,5.0,,,,,,,,,,1
1.0,5.0,,,,2.0,,,,9.0,,,,,,,,,,1
1.0,3.0,,,,5.0,,,,10.0,,,,,,,,,,1
2.0,3.0,,,,7.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,9.0,,,,8.0,,,,,,,,,,1
2.0,2.0,,,,5.0,,,,8.0,,,,,,,,,,1
2.0,5.0,,,,4.0,,,,7.0,,,,,,,,,,1
2.0,2.0,,,,6.0,,,,9.0,,,,,,,,,,1
1.0,4.0,,,,4.0,,,,6.0,,,,,,,,,,1
2.0,4.0,,,,7.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,8.0,,,,10.0,,,,,,,,,,1
1.0,1.0,,,,9.0,,,,9.0,,,,,,,,,,1
2.0,2.0,,,,6.0,,,,10.0,,,,,,,,,,1
1.0,1.0,,,,7.0,,,,5.0,,,,,,,,,,1
2.0,4.0,,,,9.0,,,,9.0,,,,,,,,,,1
1.0,2.0,,,,8.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,5.0,,,,9.0,,,,,,,,,,1
2.0,4.0,,,,7.0,,,,10.0,,,,,,,,,,1
1.0,2.0,,,,8.0,,,,8.0,,,,,,,,,,1
2.0,4.0,,,,3.0,,,,6.0,,,,,,,,,,1
2.0,5.0,,,,9.0,,,,8.0,,,,,,,,,,1
1.0,2.0,,,,6.0,,,,8.0,,,,,,,,,,1
1.0,4.0,,,,7.0,,,,4.0,,,,,,,,,,1
1.0,5.0,,,,5.0,,,,7.0,,,,,,,,,,1
1.0,3.0,,,,9.0,,,,8.0,,,,,,,,,,1
1.0,6.0,,,,5.0,,,,8.0,,,,,,,,,,1
1.0,5.0,,,,8.0,,,,8.0,,,,,,,,,,1
2.0,5.0,,,,8.0,,,,9.0,,,,,,,,,,1
1.0,3.0,,,,10.0,,,,9.0,,,,,,,,,,1
1.0,2.0,,,,9.0,,,,9.0,,,,,,,,,,1
2.0,3.0,,,,10.0,,,,9.0,,,,,,,,,,1
1.0,2.0,,,,9.0,,,,9.0,,,,,,,,,,1
