Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
ML_1__28__1,ML_1__28,2.0,1.0,1.0,1.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,8.0,7.0,,3
ML_2__29__1,ML_2__29,2.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,7.0,7.0,,3
ML_3__30__1,ML_3__30,2.0,1.0,1.0,1.0,,10.0,10.0,10.0,,8.0,9.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_4__31__1,ML_4__31,2.0,1.0,1.0,1.0,,8.0,8.0,8.0,,9.0,10.0,10.0,,10.0,10.0,,5.0,6.0,,3
ML_5__32__1,ML_5__32,2.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_6__33__1,ML_6__33,2.0,1.0,1.0,1.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,10.0,10.0,,10.0,10.0,,3
SE911__69__1,SE911__69,1.0,4.0,4.0,3.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,5.0,7.0,,5.0,6.0,,3
MH69__70__1,MH69__70,2.0,1.0,1.0,1.0,,10.0,7.0,6.0,,10.0,10.0,10.0,,10.0,10.0,,8.0,8.0,,3
SK1__71__1,SK1__71,2.0,1.0,1.0,1.0,,8.0,10.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
TCB94__72__1,TCB94__72,1.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
CH86__73__1,CH86__73,1.0,1.0,1.0,1.0,,8.0,8.0,8.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
TN_1__232__1,TN_1__232,2.0,1.0,1.0,1.0,,8.0,10.0,10.0,,10.0,9.0,8.0,,10.0,10.0,,5.0,5.0,,3
ML_1__28__2,ML_1__28,1.0,1.0,1.0,1.0,,8.0,8.0,9.0,,7.0,8.0,8.0,,10.0,10.0,,10.0,10.0,,3
ML_2__29__2,ML_2__29,2.0,3.0,3.0,3.0,,10.0,10.0,10.0,,9.0,9.0,9.0,,9.0,8.0,,8.0,9.0,,3
ML_3__30__2,ML_3__30,2.0,1.0,1.0,1.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,1.0,2.0,,3
ML_4__31__2,ML_4__31,1.0,2.0,2.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_5__32__2,ML_5__32,1.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,1.0,10.0,,3
