"","Participant","Trial","V4","V6","V12","Group"
"1","A01__74__1",1,1,7,9,1
"2","A02__75__1",1,1,7,10,1
"3","A03__76__1",1,1,8,10,1
"4","A04__77__1",1,2,7,9,1
"5","A05__78__1",1,2,7,7,1
"6","VG_1__224__1",1,4,4,7,1
"7","RG_1__230__1",1,4,9,9,1
"8","A01__74__2",1,1,7,9,1
"9","A02__75__2",1,1,8,10,1
"10","A03__76__2",1,2,7,10,1
"11","A04__77__2",1,3,8,8,1
"12","A05__78__2",1,1,7,8,1
"13","VG_1__224__2",1,4,8,6,1
"14","RG_1__230__2",1,5,5,8,1
"15","A01__74__3",1,2,5,8,1
"16","A02__75__3",1,2,7,10,1
"17","A03__76__3",1,2,10,8,1
"18","A04__77__3",1,2,6,8,1
"19","A05__78__3",1,1,8,8,1
"20","VG_1__224__3",1,4,8,8,1
"21","RG_1__230__3",1,5,8,7,1
"22","A01__74__4",1,4,2,7,1
"23","A02__75__4",1,3,9,10,1
"24","A03__76__4",1,1,9,9,1
"25","A04__77__4",1,1,6,8,1
"26","A05__78__4",1,2,6,9,1
"27","VG_1__224__4",1,3,4,5,1
"28","RG_1__230__4",1,5,6,8,1
"29","A01__74__5",1,5,2,8,1
"30","A02__75__5",1,2,8,10,1
"31","A04__77__5",1,1,7,8,1
"32","A05__78__5",1,3,5,10,1
"33","RG_1__230__5",1,5,7,6,1
"34","A01__74__6",1,5,8,9,1
"35","A02__75__6",1,1,10,10,1
"36","A03__76__6",1,5,8,8,1
"37","A04__77__6",1,2,8,8,1
"38","A05__78__6",1,2,6,10,1
"39","VG_1__224__6",1,1,9,7,1
"40","RG_1__230__6",1,5,6,8,1
"41","A01__74__7",1,4,8,10,1
"42","A02__75__7",1,2,2,10,1
"43","A03__76__7",1,4,8,9,1
"44","A04__77__7",1,3,9,8,1
"45","FG_2__23__8",1,4,5,5,1
"46","A01__74__8",1,5,2,9,1
"47","A02__75__8",1,3,5,10,1
"48","A03__76__8",1,3,7,8,1
"49","A04__77__8",1,2,9,8,1
"50","VG_1__224__8",1,2,5,8,1
"51","A01__74__9",1,5,4,7,1
"52","A03__76__9",1,2,6,9,1
"53","VG_1__224__9",1,4,4,6,1
"54","A01__74__10",1,4,7,8,1
"55","A02__75__10",1,2,8,10,1
"56","A03__76__10",1,1,9,9,1
"57","A05__78__10",1,2,6,10,1
"58","VG_1__224__10",1,1,7,5,1
"59","A01__74__11",1,4,9,9,1
"60","A03__76__11",1,2,8,8,1
"61","A05__78__11",1,2,5,9,1
"62","A01__74__12",1,4,7,10,1
"63","A03__76__12",1,2,8,8,1
"64","VG_1__224__12",1,4,3,6,1
"65","CR1__349__12",1,5,9,8,1
"66","A03__76__13",1,2,6,8,1
"67","VG_1__224__13",1,4,7,4,1
"68","CR1__349__13",1,5,5,7,1
"69","VG_1__224__14",1,3,9,8,1
"70","CR1__349__14",1,6,5,8,1
"71","VG_1__224__15",1,5,8,8,1
"72","CR1__349__15",1,5,8,9,1
"73","SL_1__223__16",1,3,10,9,1
"74","VG_1__224__16",1,2,9,9,1
"75","SL_1__223__17",1,3,10,9,1
"76","VG_1__224__17",1,2,9,9,1
"77","HL_1__89__1",1,1,8,8,2
"78","HL_2__90__1",1,5,9,8,2
"79","HL_3__91__1",1,1,9,5,2
"80","HL_4__92__1",1,1,10,4,2
"81","HL_5__93__1",1,1,8,3,2
"82","CS4__352__1",1,3,3,7,2
"83","HL_1__89__2",1,1,8,7,2
"84","HL_2__90__2",1,5,9,8,2
"85","HL_3__91__2",1,2,9,8,2
"86","HL_4__92__2",1,1,10,2,2
"87","HL_5__93__2",1,1,9,5,2
"88","CS4__352__2",1,2,8,9,2
"89","HL_1__89__3",1,3,8,5,2
"90","HL_2__90__3",1,3,10,9,2
"91","HL_3__91__3",1,2,9,3,2
"92","HL_4__92__3",1,2,10,10,2
"93","HL_5__93__3",1,1,8,7,2
"94","CS4__352__3",1,2,9,8,2
"95","HL_1__89__4",1,1,8,10,2
"96","HL_2__90__4",1,2,10,7,2
"97","HL_3__91__4",1,2,9,2,2
"98","HL_4__92__4",1,2,10,8,2
"99","HL_5__93__4",1,1,9,9,2
"100","CS4__352__4",1,2,10,10,2
"101","HL_1__89__5",1,2,7,6,2
"102","HL_2__90__5",1,1,10,3,2
"103","HL_3__91__5",1,2,9,5,2
"104","HL_4__92__5",1,3,10,9,2
"105","HL_5__93__5",1,1,9,9,2
"106","CS4__352__5",1,1,10,10,2
"107","HL_1__89__6",1,4,7,4,2
"108","HL_2__90__6",1,1,10,7,2
"109","HL_3__91__6",1,2,9,7,2
"110","HL_4__92__6",1,3,10,1,2
"111","HL_5__93__6",1,1,9,4,2
"112","HL_1__89__7",1,5,7,6,2
"113","HL_2__90__7",1,1,9,9,2
"114","HL_3__91__7",1,2,9,6,2
"115","HL_4__92__7",1,3,9,1,2
"116","HL_5__93__7",1,1,9,9,2
"117","HL_1__89__8",1,1,8,7,2
"118","HL_2__90__8",1,2,8,10,2
"119","HL_3__91__8",1,1,9,6,2
"120","HL_4__92__8",1,2,9,1,2
"121","CS4__352__8",1,4,5,9,2
"122","HL_1__89__9",1,3,10,7,2
"123","HL_2__90__9",1,3,9,8,2
"124","HL_3__91__9",1,1,9,2,2
"125","HL_4__92__9",1,2,9,1,2
"126","HL_1__89__10",1,2,8,3,2
"127","HL_2__90__10",1,3,9,8,2
"128","HL_3__91__10",1,1,9,8,2
"129","HL_4__92__10",1,2,10,4,2
"130","HL_1__89__11",1,2,8,2,2
"131","HL_2__90__11",1,3,9,4,2
"132","HL_3__91__11",1,1,9,8,2
"133","HL_4__92__11",1,2,10,9,2
"134","HL_1__89__12",1,2,8,9,2
"135","HL_2__90__12",1,1,9,4,2
"136","HL_3__91__12",1,1,9,5,2
"137","HL_4__92__12",1,2,10,4,2
"138","HL_1__89__13",1,2,8,7,2
"139","HL_2__90__13",1,3,9,7,2
"140","HL_3__91__13",1,2,9,2,2
"141","HL_4__92__13",1,2,10,1,2
"142","HL_1__89__14",1,5,9,7,2
"143","HL_2__90__14",1,4,9,9,2
"144","HL_3__91__14",1,3,9,4,2
"145","HL_1__89__15",1,5,8,1,2
"146","HL_2__90__15",1,4,9,6,2
"147","HL_3__91__15",1,3,9,10,2
"148","Kl911__143__16",1,3,6,9,2
"149","HL_1__89__1",2,1,8,8,2
"150","HL_2__90__1",2,1,9,8,2
"151","HL_3__91__1",2,6,9,5,2
"152","HL_4__92__1",2,1,10,4,2
"153","HL_5__93__1",2,2,8,3,2
"154","CS4__352__1",2,4,3,8,2
"155","HL_1__89__2",2,1,8,7,2
"156","HL_2__90__2",2,7,9,8,2
"157","HL_3__91__2",2,2,9,8,2
"158","HL_4__92__2",2,4,10,2,2
"159","HL_5__93__2",2,4,9,5,2
"160","CS4__352__2",2,2,8,5,2
"161","HL_1__89__3",2,3,8,5,2
"162","HL_2__90__3",2,5,10,9,2
"163","HL_3__91__3",2,7,9,3,2
"164","HL_4__92__3",2,5,10,10,2
"165","HL_5__93__3",2,4,8,7,2
"166","CS4__352__3",2,2,9,8,2
"167","HL_1__89__4",2,1,8,10,2
"168","HL_2__90__4",2,3,10,7,2
"169","HL_3__91__4",2,7,9,2,2
"170","HL_4__92__4",2,7,10,8,2
"171","HL_5__93__4",2,4,9,9,2
"172","CS4__352__4",2,2,10,8,2
"173","HL_1__89__5",2,3,7,6,2
"174","HL_2__90__5",2,6,10,3,2
"175","HL_3__91__5",2,6,9,5,2
"176","HL_4__92__5",2,4,10,9,2
"177","HL_5__93__5",2,1,9,9,2
"178","CS4__352__5",2,1,10,8,2
"179","HL_1__89__6",2,3,7,4,2
"180","HL_2__90__6",2,6,10,7,2
"181","HL_3__91__6",2,6,9,7,2
"182","HL_4__92__6",2,4,10,1,2
"183","HL_5__93__6",2,1,9,4,2
"184","HL_1__89__7",2,6,7,6,2
"185","HL_2__90__7",2,5,9,9,2
