Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
A01__74__1,A01__74,2.0,1.0,,,,7.0,,,,9.0,,,,,,,,,,1
A02__75__1,A02__75,1.0,1.0,,,,7.0,,,,10.0,,,,,,,,,,1
A03__76__1,A03__76,1.0,1.0,,,,8.0,,,,10.0,,,,,,,,,,1
A04__77__1,A04__77,1.0,2.0,,,,7.0,,,,9.0,,,,,,,,,,1
A05__78__1,A05__78,1.0,2.0,,,,7.0,,,,7.0,,,,,,,,,,1
VG_1__224__1,VG_1__224,1.0,4.0,,,,4.0,,,,7.0,,,,,,,,,,1
RG_1__230__1,RG_1__230,1.0,4.0,,,,9.0,,,,9.0,,,,,,,,,,1
A01__74__2,A01__74,2.0,1.0,,,,7.0,,,,9.0,,,,,,,,,,1
A02__75__2,A02__75,1.0,1.0,,,,8.0,,,,10.0,,,,,,,,,,1
A03__76__2,A03__76,1.0,2.0,,,,7.0,,,,10.0,,,,,,,,,,1
A04__77__2,A04__77,1.0,3.0,,,,8.0,,,,8.0,,,,,,,,,,1
A05__78__2,A05__78,1.0,1.0,,,,7.0,,,,8.0,,,,,,,,,,1
VG_1__224__2,VG_1__224,1.0,4.0,,,,8.0,,,,6.0,,,,,,,,,,1
RG_1__230__2,RG_1__230,1.0,5.0,,,,5.0,,,,8.0,,,,,,,,,,1
A01__74__3,A01__74,2.0,2.0,,,,5.0,,,,8.0,,,,,,,,,,1
A02__75__3,A02__75,2.0,2.0,,,,7.0,,,,10.0,,,,,,,,,,1
A03__76__3,A03__76,2.0,2.0,,,,10.0,,,,8.0,,,,,,,,,,1
A04__77__3,A04__77,1.0,2.0,,,,6.0,,,,8.0,,,,,,,,,,1
A05__78__3,A05__78,2.0,1.0,,,,8.0,,,,8.0,,,,,,,,,,1
VG_1__224__3,VG_1__224,2.0,4.0,,,,8.0,,,,8.0,,,,,,,,,,1
RG_1__230__3,RG_1__230,1.0,5.0,,,,8.0,,,,7.0,,,,,,,,,,1
A01__74__4,A01__74,2.0,4.0,,,,2.0,,,,7.0,,,,,,,,,,1
A02__75__4,A02__75,2.0,3.0,,,,9.0,,,,10.0,,,,,,,,,,1
A03__76__4,A03__76,2.0,1.0,,,,9.0,,,,9.0,,,,,,,,,,1
A04__77__4,A04__77,2.0,1.0,,,,6.0,,,,8.0,,,,,,,,,,1
A05__78__4,A05__78,2.0,2.0,,,,6.0,,,,9.0,,,,,,,,,,1
VG_1__224__4,VG_1__224,1.0,3.0,,,,4.0,,,,5.0,,,,,,,,,,1
RG_1__230__4,RG_1__230,1.0,5.0,,,,6.0,,,,8.0,,,,,,,,,,1
A01__74__5,A01__74,1.0,5.0,,,,2.0,,,,8.0,,,,,,,,,,1
A02__75__5,A02__75,1.0,2.0,,,,8.0,,,,10.0,,,,,,,,,,1
A04__77__5,A04__77,2.0,1.0,,,,7.0,,,,8.0,,,,,,,,,,1
A05__78__5,A05__78,1.0,3.0,,,,5.0,,,,10.0,,,,,,,,,,1
RG_1__230__5,RG_1__230,1.0,5.0,,,,7.0,,,,6.0,,,,,,,,,,1
A01__74__6,A01__74,2.0,5.0,,,,8.0,,,,9.0,,,,,,,,,,1
A02__75__6,A02__75,2.0,1.0,,,,10.0,,,,10.0,,,,,,,,,,1
A03__76__6,A03__76,2.0,5.0,,,,8.0,,,,8.0,,,,,,,,,,1
A04__77__6,A04__77,2.0,2.0,,,,8.0,,,,8.0,,,,,,,,,,1
A05__78__6,A05__78,1.0,2.0,,,,6.0,,,,10.0,,,,,,,,,,1
VG_1__224__6,VG_1__224,2.0,1.0,,,,9.0,,,,7.0,,,,,,,,,,1
RG_1__230__6,RG_1__230,1.0,5.0,,,,6.0,,,,8.0,,,,,,,,,,1
A01__74__7,A01__74,2.0,4.0,,,,8.0,,,,10.0,,,,,,,,,,1
A02__75__7,A02__75,2.0,2.0,,,,2.0,,,,10.0,,,,,,,,,,1
A03__76__7,A03__76,1.0,4.0,,,,8.0,,,,9.0,,,,,,,,,,1
A04__77__7,A04__77,1.0,3.0,,,,9.0,,,,8.0,,,,,,,,,,1
FG_2__23__8,FG_2__23,2.0,4.0,,,,5.0,,,,5.0,,,,,,,,,,1
